Lodwar,Month,Year
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Jan,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
0,Feb,2012
,Feb,2012
,Feb,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0,Mar,2012
0.5,Mar,2012
0.01,Apr,2012
3.2,Apr,2012
0,Apr,2012
0,Apr,2012
0,Apr,2012
0,Apr,2012
0,Apr,2012
0,Apr,2012
0,Apr,2012
0,Apr,2012
0.5,Apr,2012
0,Apr,2012
0,Apr,2012
0,Apr,2012
0,Apr,2012
0,Apr,2012
0.01,Apr,2012
19.8,Apr,2012
0,Apr,2012
0.01,Apr,2012
0.01,Apr,2012
0,Apr,2012
23.2,Apr,2012
2.2,Apr,2012
0.1,Apr,2012
0,Apr,2012
30.9,Apr,2012
0,Apr,2012
0,Apr,2012
0,Apr,2012
,Apr,2012
0,May,2012
9,May,2012
5.1,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
67.5,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,May,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
0,Jun,2012
,Jun,2012
0,Jul,2012
0,Jul,2012
0,Jul,2012
4.3,Jul,2012
0.01,Jul,2012
0,Jul,2012
0,Jul,2012
