2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0,5.2,0,0,0,0,1.4,0,0.6,1.7,0,0,0,0.4
0,0,0,2.6,0,7.2,0,3.3,0,37,0,0,3.3,0
0,0,0,0.7,0,36.2,0,0,0,18.3,0.01,0,4,0
0,0,0,19.2,0,0.01,0,7.8,0.01,8.6,0,2.91,0,0.01
0,0,0,0,0,0,0,0,0,5.1,0.9,,0,0
0,0,0,0,0,72.5,0,9,0,0.5,0,0,10,0.2
0,0,18.6,0,18.6,59.4,0,4.4,0,0,0,0,9,0
12.5,0,0,3.8,2.3,20.7,0.9,0,0,0.01,0,0.01,16.2,4.7
0.01,0.01,0,0,0.01,1.6,0,0,0,0,0.01,1.5,0.3,0.3
0,12,0,0,1.6,0,1.6,0,0,0,44.7,0.01,2.9,5.3
0,0,10.7,0,0,0,13,0.2,0,0.01,0.3,6.7,2.9,40.4
0,0,5,0,0,0,15.2,0,0.6,43.3,0,8.5,6.2,0.01
0,3.9,4.6,0,0,0,0,0,0,0.01,0,19.6,9,14
1.7,0,1.4,0,0.01,0,0,0,0.4,0,0,0,133.5,1
16,0,0,0,42.2,0,0,0,0.01,0.6,0.01,34.8,19.9,0.01
4.6,0,0.7,1.4,0,77.8,0,0,0.8,11.5,0,0,0,18.6
4.6,0,0,0,26.5,0,6.2,0.01,0,0.2,0,0,0,5.6
1.6,1.2,0.2,0,7.2,3,1.1,0,0,0.6,0,0.01,5.4,12.4
1.7,0.01,1,0,1.3,0.7,1.8,0.01,0,20.6,0,13.1,8.8,0
0.01,0.01,19.9,1,1,0,7.1,0.9,0,15.3,0.01,0,25.2,0
0,0,0,0,0,24,10,1.1,0,12.3,0.01,0,17.4,0
0.01,0,5.4,0,0,0.01,0.01,29.1,0.01,1.2,0.01,1.6,40.1,0
0.01,2.5,1.7,2.1,0,0,11.3,63.7,0,6.2,0,0.4,0.5,0
12.8,0.2,3.4,27.3,0,0,8,33.7,0,10.3,0.4,31.9,,0
0,0.7,3.3,19.6,0,0.8,5.2,4.1,1.1,3.2,0.01,21.8,,0
0,0,30.5,8.3,6.8,1.1,34.5,98.7,13.4,0,0.8,24.7,,0
0,0.7,63,10,80,2.4,64.5,6.4,6.5,15.6,14,49.7,,0
0,11.1,85.4,27.6,36.6,84.7,11.3,4.5,3.5,35.2,1.4,31.6,,10.5
0,0,40.3,12.8,20,0,0.01,16.8,17.8,8.6,2.9,38.4,,24.5
31,0.5,0.8,10.9,1.7,0,24.7,27.9,3.8,29.3,0.01,6.4,,23
6.8,0,0,31.4,7,0,235.1,18.2,18.1,27,1.4,0,,6.1
4.8,0,0,4.4,2.5,2.3,3.9,37.9,9.9,0.1,1.5,0,,15
7.2,1.7,0,8.8,0,17.4,7,2.1,4.4,11.1,2.6,0,,3.6
0,0.8,1,5.2,6,5.5,0.01,28.5,65.2,1.6,3.4,0.4,,0
0.01,6.3,22.8,67.8,0.4,1,0,17,10.8,0.3,17.8,0,,0
23,1.5,7.9,0.6,0.01,0,0,2.7,6.2,0,0.9,0,,0
0.01,4.9,0,1,0,0,11.8,3.4,0.01,16.2,0,0,,0
4.4,21.5,0,0,10,0,0,0,0.01,14.4,0,0,,1.6
